Entry	Entry Name	Protein names	EC number
O04121	CHMO_SPIOL	"Choline monooxygenase, chloroplastic (EC 1.14.15.7)"	1.14.15.7
O85673	ANTDA_ACIAD	"Anthranilate 1,2-dioxygenase large subunit (EC 1.14.12.1)"	1.14.12.1
P0A110	NDOB_PSEPU	"Naphthalene 1,2-dioxygenase system, large oxygenase component (EC 1.14.12.12) (ISP NAP) (Naphthalene 1,2-dioxygenase ISP alpha) (Naphthalene 1,2-dioxygenase subunit alpha) (ND subunit alpha) (NDO subunit alpha)"	1.14.12.12
P0A111	NDOB_PSEU8	"Naphthalene 1,2-dioxygenase system, large oxygenase component (EC 1.14.12.12) (ISP NAP) (Naphthalene 1,2-dioxygenase ISP alpha) (Naphthalene 1,2-dioxygenase subunit alpha) (ND subunit alpha) (NDO subunit alpha)"	1.14.12.12
P0C618	BNZA_PSEPU	"Benzene 1,2-dioxygenase subunit alpha (EC 1.14.12.3) (Benzene 1,2-dioxygenase P1 subunit) (Toluene 2,3-dioxygenase subunit alpha) (EC 1.14.12.11)"	1.14.12.11; 1.14.12.3
Q3C1D5	TPDA2_COMSP	"Terephthalate 1,2-dioxygenase, terminal oxygenase component subunit alpha 2 (TPADO terminal oxygenase component) (EC 1.14.12.15) (TER dioxygenase system) (TERDOS) (Terephthalate 1,2-dioxygenase large subunit 2)"	1.14.12.15
Q3C1E3	TPDA1_COMSP	"Terephthalate 1,2-dioxygenase, terminal oxygenase component subunit alpha 1 (TPADO terminal oxygenase component) (EC 1.14.12.15) (TER dioxygenase system) (TERDOS) (Terephthalate 1,2-dioxygenase large subunit 1)"	1.14.12.15
Q53122	BPHA1_RHOJR	"Biphenyl 2,3-dioxygenase subunit alpha (EC 1.14.12.18) (Biphenyl dioxygenase system, oxygenase component subunit alpha) (BDO, oxygenase component subunit alpha) (Rieske dioxygenase) (Terminal oxygenase component of biphenyl dioxygenase, large subunit)"	1.14.12.18
Q9RBG5	ABSAA_ALCSP	"2-aminobenzenesulfonate 2,3-dioxygenase subunit alpha (EC 1.14.12.14) (2-aminobenzenesulfonate dioxygenase large subunit) (AbsAa)"	1.14.12.14
A0A401KD97	A0A401KD97_ASPAW	"Bifunctional lycopene cyclase/phytoene synthase (EC 1.14.15.7) (EC 2.5.1.32) (EC 5.5.1.19) (Choline monooxygenase, chloroplastic)"	1.14.15.7; 2.5.1.32; 5.5.1.19
A5W4F2	BNZA_PSEP1	"Benzene 1,2-dioxygenase subunit alpha (EC 1.14.12.3) (Benzene 1,2-dioxygenase P1 subunit) (Toluene 2,3-dioxygenase subunit alpha) (EC 1.14.12.11)"	1.14.12.11; 1.14.12.3
D0C9N6	CNTA_ACIB2	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
F0KFI5	CNTA_ACICP	Carnitine monooxygenase oxygenase subunit (EC 1.14.13.239) (Carnitine monooxygenase alpha subunit)	1.14.13.239
